MCLU,TIME[Myr],Z,NB_P,EBIN
1020,1.5,0.02,1,6.315769154440178e+49
1020,92.75,0.02,0,9.606054954862975e+47
1020,92.75,0.02,1,6.90990849686157e+46
1020,64.0,0.02,0,1.0574164507408725e+48
1020,64.0,0.02,1,7.473778216278479e+46
1020,28.75,0.02,0,1.026565386141906e+49
1020,28.75,0.02,1,9.120012315165424e+46
1020,55.25,0.02,0,3.331252426696524e+48
1020,55.25,0.02,1,7.736431913370398e+46
1020,40.5,0.02,0,7.75121517829755e+48
1020,40.5,0.02,1,8.891334030897446e+46
1020,0.0,0.02,1,1.2336022100439081e+50
1020,47.75,0.02,0,6.783416175689749e+48
1020,47.75,0.02,1,7.79774758223074e+46
1020,11.75,0.02,0,1.0416489164501102e+49
1020,11.75,0.02,1,9.260872667346983e+46
1020,46.25,0.02,0,6.781211587950253e+48
1020,46.25,0.02,1,8.803519090715685e+46
1020,52.25,0.02,0,3.327995575911169e+48
1020,52.25,0.02,1,7.744433990544506e+46
1020,78.0,0.02,0,1.706106900333987e+47
1020,78.0,0.02,1,6.992643508669102e+46
1020,63.25,0.02,0,1.0573670034339968e+48
1020,63.25,0.02,1,7.476909453822442e+46
1020,14.0,0.02,0,1.0409589676684598e+49
1020,14.0,0.02,1,9.333255312149476e+46
1020,90.5,0.02,0,9.608530811768392e+47
1020,90.5,0.02,1,6.913111587671535e+46
1020,58.0,0.02,0,2.7094802986695097e+48
1020,58.0,0.02,1,7.734461815023088e+46
1020,15.5,0.02,0,1.0408059833532551e+49
1020,15.5,0.02,1,9.331671483047714e+46
1020,44.0,0.02,0,7.755274363442047e+48
1020,44.0,0.02,1,8.825021844900557e+46
1020,69.75,0.02,0,1.0571124248097617e+48
1020,69.75,0.02,1,7.478283604236185e+46
1020,7.25,0.02,0,3.3307405616763555e+49
1020,7.25,0.02,1,9.343167614677583e+46
1020,42.75,0.02,0,7.750278398668747e+48
1020,42.75,0.02,1,8.886350710086503e+46
1020,22.0,0.02,0,1.0319918138540715e+49
1020,22.0,0.02,1,9.30681058177579e+46
1020,23.5,0.02,0,1.0292749556800836e+49
1020,23.5,0.02,1,9.248690888123517e+46
1020,73.5,0.02,0,1.0568911959207673e+48
1020,73.5,0.02,1,7.476859806772505e+46
1020,36.75,0.02,0,1.0264143389860999e+49
1020,36.75,0.02,1,9.04080478202328e+46
1020,83.75,0.02,0,1.0559882526511929e+48
1020,83.75,0.02,1,6.969169620820608e+46
1020,43.5,0.02,0,7.755005017739966e+48
1020,43.5,0.02,1,8.815271820425983e+46
1020,61.0,0.02,0,1.0576162519283697e+48
1020,61.0,0.02,1,7.47290640664982e+46
1020,53.0,0.02,0,3.33160188303427e+48
1020,53.0,0.02,1,7.744904671527933e+46
1020,26.5,0.02,0,1.0274126515447785e+49
1020,26.5,0.02,1,9.245756733003288e+46
1020,30.25,0.02,0,1.0267200175506293e+49
1020,30.25,0.02,1,9.124793237435536e+46
1020,69.0,0.02,0,1.057237420312301e+48
1020,69.0,0.02,1,7.470275444287177e+46
1020,0.75,0.02,0,6.512820916269196e+44
1020,0.75,0.02,1,6.409060612420294e+49
1020,41.25,0.02,0,7.751273079964382e+48
1020,41.25,0.02,1,8.887114868878974e+46
1020,12.5,0.02,0,1.0409849705000946e+49
1020,12.5,0.02,1,9.338570155565666e+46
1020,67.0,0.02,0,1.0573378708705072e+48
1020,67.0,0.02,1,7.477878404708811e+46
1020,86.0,0.02,0,1.055801811577622e+48
1020,86.0,0.02,1,6.967286812387617e+46
1020,18.5,0.02,0,1.039822161510401e+49
1020,18.5,0.02,1,9.31477688113096e+46
1020,14.75,0.02,0,1.0408024926499702e+49
1020,14.75,0.02,1,9.334784269900613e+46
1020,29.5,0.02,0,1.0267330775622881e+49
1020,29.5,0.02,1,9.111429910963779e+46
1020,34.5,0.02,0,1.0261287955439077e+49
1020,34.5,0.02,1,9.108006500430097e+46
1020,89.75,0.02,0,1.0074885676834984e+48
1020,89.75,0.02,1,6.91519266906379e+46
1020,94.0,0.02,0,9.607536475411923e+47
1020,94.0,0.02,1,6.874306876200897e+46
1020,96.25,0.02,0,9.60727113884725e+47
1020,96.25,0.02,1,6.849547425410857e+46
1020,47.0,0.02,0,6.783459206101739e+48
1020,47.0,0.02,1,7.795212767317046e+46
1020,42.0,0.02,0,7.75128525466792e+48
1020,42.0,0.02,1,8.880751881078186e+46
1020,93.5,0.02,0,9.604222792033927e+47
1020,93.5,0.02,1,6.910003022492451e+46
1020,54.5,0.02,0,3.331234393781027e+48
1020,54.5,0.02,1,7.742986374054888e+46
1020,32.25,0.02,0,1.0263083508697494e+49
1020,32.25,0.02,1,9.121412460887539e+46
1020,83.0,0.02,0,1.0561101657237099e+48
1020,83.0,0.02,1,6.960566665118008e+46
1020,67.75,0.02,0,1.0571086946949493e+48
1020,67.75,0.02,1,7.483111099726246e+46
1020,35.25,0.02,0,1.0265166522894215e+49
1020,35.25,0.02,1,9.104286903292521e+46
1020,9.5,0.02,0,3.32677314423454e+49
1020,9.5,0.02,1,9.374277786413832e+46
1020,89.0,0.02,0,1.007578776459397e+48
1020,89.0,0.02,1,6.917135057894186e+46
1020,25.75,0.02,0,1.0273405353122662e+49
1020,25.75,0.02,1,9.241973580252607e+46
1020,3.75,0.02,0,1.6029676158843922e+49
1020,3.75,0.02,1,1.003761140865412e+48
1020,100.0,0.02,0,7.533888983149059e+46
1020,100.0,0.02,1,6.850039393349258e+46
1020,37.5,0.02,0,1.0269482909450884e+49
1020,37.5,0.02,1,8.957426551376825e+46
1020,6.5,0.02,0,3.331353998766945e+49
1020,6.5,0.02,1,9.550001061091257e+46
1020,36.0,0.02,0,1.0264149360130775e+49
1020,36.0,0.02,1,9.037516395511235e+46
1020,45.5,0.02,0,6.774663525030036e+48
1020,45.5,0.02,1,8.811301871109892e+46
1020,17.75,0.02,0,1.039857935976284e+49
1020,17.75,0.02,1,9.312978697796227e+46
1020,56.0,0.02,0,3.336490385023458e+48
1020,56.0,0.02,1,7.735439821509224e+46
1020,78.75,0.02,0,1.7053714185185044e+47
1020,78.75,0.02,1,6.994620702637938e+46
1020,17.0,0.02,0,1.0399489998681587e+49
1020,17.0,0.02,1,9.30014428684402e+46
1020,21.25,0.02,0,1.0327043133381928e+49
1020,21.25,0.02,1,9.307028524932312e+46
1020,97.75,0.02,0,7.545365019159191e+46
1020,97.75,0.02,1,6.844867901149549e+46
1020,53.75,0.02,0,3.331620384765082e+48
1020,53.75,0.02,1,7.743287337954519e+46
1020,92.0,0.02,0,9.606026198615298e+47
1020,92.0,0.02,1,6.913050278559888e+46
1020,97.0,0.02,0,7.547050049509756e+46
1020,97.0,0.02,1,6.843385908294529e+46
1020,50.75,0.02,0,3.3285317407692404e+48
1020,50.75,0.02,1,7.738673824072292e+46
1020,66.25,0.02,0,1.0572647284110522e+48
1020,66.25,0.02,1,7.48670464519239e+46
1020,87.5,0.02,0,1.0582038016511664e+48
1020,87.5,0.02,1,6.962136753535541e+46
1020,3.0,0.02,0,4.949841288674072e+49
1020,3.0,0.02,1,7.940446443902266e+48
1020,22.75,0.02,0,1.0292581218316797e+49
1020,22.75,0.02,1,9.26895384443365e+46
1020,86.75,0.02,0,1.0554915810892098e+48
1020,86.75,0.02,1,6.957373762055552e+46
1020,16.25,0.02,0,1.0400674406016615e+49
1020,16.25,0.02,1,9.33653348589214e+46
1020,82.25,0.02,0,1.0560823395199642e+48
1020,82.25,0.02,1,6.967108342201988e+46
1020,51.5,0.02,0,3.3285098138799294e+48
1020,51.5,0.02,1,7.736394126306306e+46
1020,75.0,0.02,0,1.0569126197045022e+48
1020,75.0,0.02,1,7.159623199993401e+46
1020,48.5,0.02,0,3.326246248296267e+48
1020,48.5,0.02,1,7.78765924834217e+46
1020,13.25,0.02,0,1.04097120814334e+49
1020,13.25,0.02,1,9.375774301619237e+46
1012,18.5,0.02,0,7.31718101998006e+48
1012,18.5,0.02,1,1.4020434607782157e+47
1012,76.25,0.02,0,4.4972037979580363e+46
1012,76.25,0.02,1,1.0476868010833697e+47
1012,88.75,0.02,0,6.701597826622847e+46
1012,88.75,0.02,1,8.257521787976305e+46
1012,27.75,0.02,0,1.1690224316597214e+48
1012,27.75,0.02,1,1.3661010477068168e+47
1012,63.25,0.02,0,6.8203234717393675e+47
1012,63.25,0.02,1,1.0795431575778295e+47
1012,34.75,0.02,0,1.1691543712612172e+48
1012,34.75,0.02,1,1.3614215872664783e+47
1012,22.25,0.02,0,1.1687617469572647e+48
1012,22.25,0.02,1,1.381999704220958e+47
1012,2.0,0.02,0,8.512618156597601e+49
1012,2.0,0.02,1,1.7473764226807246e+49
1012,67.75,0.02,0,6.814638061998136e+47
1012,67.75,0.02,1,1.079622162409226e+47
1012,69.0,0.02,0,6.815396410479538e+47
1012,69.0,0.02,1,1.0496272269327742e+47
1012,58.0,0.02,0,6.816662718428306e+47
1012,58.0,0.02,1,1.0858283354641322e+47
1012,73.0,0.02,0,6.813174204675059e+47
1012,73.0,0.02,1,1.0474381430216599e+47
1012,17.0,0.02,0,7.325742608041634e+48
1012,17.0,0.02,1,1.406617433687878e+47
1012,17.75,0.02,0,7.320554557327754e+48
1012,17.75,0.02,1,1.4018695434897003e+47
1012,66.5,0.02,0,6.8181549530447196e+47
1012,66.5,0.02,1,1.078981515104424e+47
1012,28.25,0.02,0,1.1697917229013092e+48
1012,28.25,0.02,1,1.3581528120234277e+47
