Z,MCLU,TIME[Myr],NB_P
0.02,1034,95.25,0.5183673469387755
0.02,1034,78.5,0.5137254901960784
0.02,1034,16.75,0.570957095709571
0.02,1034,13.5,0.5544554455445545
0.02,1034,26.75,0.5543859649122806
0.02,1034,31.5,0.5477031802120141
0.02,1034,82.0,0.5
0.02,1034,86.0,0.5139442231075697
0.02,1034,88.0,0.5301204819277109
0.02,1034,43.0,0.5381818181818182
0.02,1034,38.25,0.5627240143369175
0.02,1034,85.25,0.532
0.02,1034,49.75,0.5186567164179104
0.02,1034,29.5,0.5212765957446809
0.02,1034,75.75,0.5196850393700787
0.02,1034,61.75,0.5171102661596958
0.02,1034,32.25,0.5444839857651246
0.02,1034,8.75,0.5750798722044729
0.02,1034,81.25,0.5059760956175299
0.02,1034,23.5,0.5413793103448276
0.02,1034,3.25,0.5757575757575758
0.02,1034,91.25,0.5303643724696356
0.02,1034,98.75,0.5183673469387755
0.02,1034,34.25,0.5177304964539007
0.02,1034,6.0,0.5691823899371069
0.02,1034,33.0,0.5283687943262412
0.02,1034,41.5,0.5381818181818182
0.02,1034,93.25,0.5
0.02,1034,16.0,0.5681063122923588
0.02,1034,51.0,0.5355805243445693
0.02,1034,71.75,0.5196850393700787
0.02,1034,15.5,0.5614617940199336
0.02,1034,19.5,0.5521885521885522
0.02,1034,89.25,0.5020242914979757
0.02,1034,49.0,0.5464684014869888
0.02,1034,84.0,0.50199203187251
0.02,1034,88.5,0.48582995951417
0.02,1034,46.25,0.5461254612546126
0.02,1034,60.5,0.5303030303030303
0.02,1034,92.0,0.5263157894736842
0.02,1034,79.75,0.5118110236220472
0.02,1034,96.75,0.5061224489795918
0.02,1034,94.0,0.491869918699187
0.02,1034,2.75,0.6468842729970327
0.02,1034,98.0,0.5020408163265306
0.02,1034,20.75,0.564625850340136
0.02,1034,79.25,0.5118110236220472
0.02,1034,14.75,0.5526315789473685
0.02,1034,75.25,0.5393700787401575
0.02,1034,100.0,0.5020408163265306
0.02,1034,47.0,0.5387453874538746
0.02,1034,68.5,0.5232558139534884
0.02,1034,44.25,0.5367647058823529
0.02,1034,12.0,0.5454545454545454
0.02,1037,18.5,0.5351170568561873
0.02,1037,76.25,0.4844961240310077
0.02,1037,88.75,0.4901185770750988
0.02,1037,27.75,0.5105633802816901
0.02,1037,63.25,0.5230769230769231
0.02,1037,34.75,0.4856115107913669
0.02,1037,22.25,0.5306122448979592
0.02,1037,2.0,0.5565217391304348
0.02,1037,67.75,0.4847328244274809
0.02,1037,69.0,0.5
0.02,1037,58.0,0.49242424242424243
0.02,1037,73.0,0.45384615384615384
0.02,1037,17.0,0.5418060200668896
0.02,1037,17.75,0.5335570469798657
0.02,1037,66.5,0.48091603053435117
0.02,1037,28.25,0.5087719298245614
0.02,1037,51.25,0.47924528301886793
0.02,1037,30.25,0.5017667844522968
0.02,1037,24.25,0.5172413793103449
0.02,1037,29.5,0.48771929824561405
